date_time,record_id,stn_id,ta,ta_quality,dp,dp_quality,rh,rh_quality,ws,ws_quality,wd,wd_quality,p,p_quality,z,z_quality,symbol,u,v
2016-01-14 02:00:00,ua,66037,39.5,N,15.1,N,24.0,N,2.6,N,350.0,N,1009.0,N,5.0,N,#,0.451485261934019,-2.560500157831741
2016-01-14 02:00:00,ua,66037,37.2,N,13.9,N,25.0,N,3.3,N,330.0,N,1005.0,N,39.0,N,#,1.6500000000000015,-2.8578838324886466
2016-01-14 02:00:00,ua,66037,36.8,N,15.1,N,28.0,N,4.3,N,305.0,N,1000.0,N,85.0,N,#,3.5223537904426645,-2.466378676309498
2016-01-14 02:00:00,ua,66037,36.0,N,14.9,N,29.0,N,5.2,N,290.0,N,992.0,N,162.0,N,#,4.886401628086723,-1.7785047452934788
2016-01-14 02:00:00,ua,66037,35.0,N,14.8,N,30.0,N,6.1,N,300.0,N,983.0,N,240.0,N,#,5.282754963085075,-3.0500000000000007
2016-01-14 02:00:00,ua,66037,34.2,N,14.6,N,31.0,N,5.1,N,270.0,N,972.0,N,340.0,N,#,5.1,9.36854801347725e-16
2016-01-14 02:00:00,ua,66037,31.5,N,14.1,N,35.0,N,0.8,N,350.0,N,939.0,N,655.0,N,#,0.13891854213354432,-0.7878462024097664
2016-01-14 02:00:00,ua,66037,30.0,N,14.1,N,38.0,N,1.2,N,325.0,N,925.0,N,789.0,N,#,0.6882917236212558,-0.9829824531467899
2016-01-14 02:00:00,ua,66037,26.5,N,13.4,N,44.0,N,5.3,N,5.0,N,886.0,N,1170.0,N,#,-0.4619254365625883,-5.2798318998862515
2016-01-14 02:00:00,ua,66037,24.8,N,13.1,N,48.0,N,5.0,N,355.0,N,870.0,N,1331.0,N,#,0.4357787137382916,-4.9809734904587275
2016-01-14 02:00:00,ua,66037,22.9,N,12.8,N,53.0,N,4.5,N,295.0,N,850.0,N,1536.0,N,#,4.078385041664925,-1.9017821778331483
2016-01-14 02:00:00,ua,66037,21.0,N,12.6,N,59.0,N,2.2,N,260.0,N,832.0,N,1724.0,N,#,2.1665770566268576,0.38202599086724676
2016-01-14 02:00:00,ua,66037,19.6,N,11.9,N,61.0,N,5.1,N,290.0,N,817.0,N,1883.0,N,#,4.792432366008132,-1.7443027309609118
2016-01-14 02:00:00,ua,66037,17.6,N,10.9,N,65.0,N,6.7,N,280.0,N,795.0,N,2110.0,N,#,6.598211945181794,-1.1634427903684308
2016-01-14 02:00:00,ua,66037,16.0,N,10.9,N,72.0,N,12.9,N,290.0,N,781.0,N,2263.0,N,#,12.122034808138217,-4.41205984890113
2016-01-14 02:00:00,ua,66037,17.0,N,7.7,N,54.0,N,15.9,N,290.0,N,774.0,N,2343.0,N,#,14.941112670495942,-5.438120278878137
2016-01-14 02:00:00,ua,66037,17.8,N,5.2,N,43.0,N,15.7,N,295.0,N,770.0,N,2386.0,N,#,14.229032256475403,-6.6351067093289835
2016-01-14 02:00:00,ua,66037,10.4,N,1.4,N,54.0,N,12.2,N,310.0,N,700.0,N,3192.0,N,#,9.345742206051533,-7.842008838175778
2016-01-14 02:00:00,ua,66037,6.8,N,0.3,N,63.0,N,13.6,N,325.0,N,669.0,N,3570.0,N,#,7.800639534374232,-11.140467802330285
2016-01-14 02:00:00,ua,66037,4.0,N,-0.6,N,72.0,N,13.4,N,325.0,N,645.0,N,3867.0,N,#,7.685924247104023,-10.976637393472487
2016-01-14 02:00:00,ua,66037,0.3,N,-9.9,N,46.0,N,12.5,N,315.0,N,595.0,N,4518.0,N,#,8.838834764831846,-8.838834764831843
2016-01-14 02:00:00,ua,66037,-1.5,N,-5.2,N,76.0,N,12.5,N,310.0,N,582.0,N,4698.0,N,#,9.575555538987226,-8.03484512108174
2016-01-14 02:00:00,ua,66037,-3.3,N,-11.1,N,55.0,N,11.6,N,310.0,N,562.0,N,4969.0,N,#,8.886115540180146,-7.456336272363855
